code,company,last_update,count
010950,S-Oil,2021-11-23,6354
010960,삼호개발,2021-11-23,4783
011000,진원생명과학,2021-11-23,6354
011040,경동제약,2021-11-23,5805
011070,LG이노텍,2021-11-23,3295
011080,형지I&C,2021-11-23,4302
011090,에넥스,2021-11-23,6354
011150,CJ씨푸드,2021-11-23,6354
011170,롯데케미칼,2021-11-23,6354
011200,HMM,2021-11-23,6353
011210,현대위아,2021-11-23,2650
011230,삼화전자공업,2021-11-23,6354
011280,태림포장,2021-11-23,6354
011300,성안,2021-11-23,6354
011320,유니크,2021-11-23,5803
011330,유니켐,2021-11-23,6353
011370,서한,2021-11-23,5803
011390,부산산업,2021-11-23,6354
011420,갤럭시아에스엠,2021-11-23,6353
011500,한농화성,2021-11-23,4667
011560,세보엠이씨,2021-11-23,5802
011690,와이투솔루션,2021-11-23,6354
011700,한신기계공업,2021-11-23,6353
011760,현대코퍼레이션,2021-11-23,6354
011780,금호석유화학,2021-11-23,6354
011790,SKC,2021-11-23,6043
011810,STX,2021-11-23,6353
011930,신성이엔지,2021-11-23,6323
012030,DB,2021-11-23,6354
012160,영흥,2021-11-23,2918
012170,아센디오,2021-11-23,6353
012200,계양전기,2021-11-23,6352
012280,영화금속,2021-11-23,6353
012320,경동인베스트,2021-11-23,6150
012330,현대모비스,2021-11-23,6354
012340,뉴인텍,2021-11-23,5802
012450,한화에어로스페이스,2021-11-23,6353
012510,더존비즈온,2021-11-23,6354
012600,센트럴인사이트,2021-11-23,6353
012610,경인양행,2021-11-23,6354
012620,원일특강,2021-11-23,5802
012630,HDC,2021-11-23,6263
012690,모나리자,2021-11-23,6354
012700,리드코프,2021-11-23,5800
012750,에스원,2021-11-23,6354
012790,신일제약,2021-11-23,5466
012800,대창,2021-11-23,6354
012860,모베이스전자,2021-11-23,5803
013000,세우글로벌,2021-11-23,6353
013030,하이록코리아,2021-11-23,5803
013120,동원개발,2021-11-23,5803
013310,아진산업,2021-11-23,1451
013360,일성건설,2021-11-23,6353
013520,화승코퍼레이션,2021-11-23,6354
013570,디와이,2021-11-23,6353
013580,계룡건설산업,2021-11-23,6354
013700,까뮤이앤씨,2021-11-23,6353
013720,CBI,2021-11-23,5803
013810,스페코,2021-11-23,5803
013870,지엠비코리아,2021-11-23,2212
013890,지누스,2021-11-23,2777
013990,아가방컴퍼니,2021-11-23,4904
014100,메디앙스,2021-11-23,5802
014130,한익스프레스,2021-11-23,6354
014160,대영포장,2021-11-23,6353
014190,원익큐브,2021-11-23,5804
014200,광림,2021-11-23,5804
014280,금강공업,2021-11-23,6353
014440,영보화학,2021-11-23,6009
014470,부방,2021-11-23,5803
014530,극동유화,2021-11-23,6353
014570,고려제약,2021-11-23,5174
014580,태경비케이,2021-11-23,6354
014620,성광벤드,2021-11-23,5155
014680,한솔케미칼,2021-11-23,6354
014710,사조씨푸드,2021-11-23,2312
014790,한라,2021-11-23,6354
014820,동원시스템즈,2021-11-23,6354
014830,유니드,2021-11-23,4196
014910,성문전자,2021-11-23,6354
014940,오리엔탈정공,2021-11-23,4919
014970,삼륭물산,2021-11-23,5804
014990,인디에프,2021-11-23,6354
015020,이스타코,2021-11-23,6353
015230,대창단조,2021-11-23,6354
015260,에이엔피,2021-11-23,6354
015350,부산도시가스,2021-11-23,6064
015360,예스코홀딩스,2021-11-23,6205
015540,쎌마테라퓨틱스,2021-11-23,6353
015590,큐로,2021-11-23,6353
015710,코콤,2021-11-23,5802
015750,성우하이텍,2021-11-23,5805
015760,한국전력공사,2021-11-23,6353
015860,일진홀딩스,2021-11-23,6354
015890,태경산업,2021-11-23,6353
016090,대현,2021-11-23,6354
016100,리더스코스메틱,2021-11-23,4662
016250,SGC이테크건설,2021-11-23,5370
016360,삼성증권,2021-11-23,6353
016380,KG동부제철,2021-11-23,6353
016450,한세예스24홀딩스,2021-11-23,5802
016580,환인제약,2021-11-23,6346
016590,신대양제지,2021-11-23,6354
016600,큐캐피탈,2021-11-23,5805
016610,DB금융투자,2021-11-23,6354
016670,인피니티엔티,2021-11-23,5800
016710,대성홀딩스,2021-11-23,5375
016740,두올,2021-11-23,1305
016790,현대사료,2021-11-23,857
016800,퍼시스,2021-11-23,6205
016880,웅진,2021-11-23,6354
016920,카스,2021-11-23,5804
017000,신원종합개발,2021-11-23,5800
017040,광명전기,2021-11-23,6354
017180,명문제약,2021-11-23,3305
017250,인터엠,2021-11-23,5802
017370,우신시스템,2021-11-23,5013
017390,서울도시가스,2021-11-23,6354
017480,삼현철강,2021-11-23,5156
017510,세명전기,2021-11-23,5803
017550,수산중공업,2021-11-23,6353
017650,대림제지,2021-11-23,5802
017670,SK텔레콤,2021-11-23,6354
017800,현대엘리베이터,2021-11-23,6346
017810,풀무원,2021-11-23,6354
017890,한국알콜,2021-11-23,5802
017900,광전자,2021-11-23,6126
017940,E1,2021-11-23,6010
017960,한국카본,2021-11-23,6354
018000,유니슨,2021-11-23,5803
018120,진로발효,2021-11-23,5805
018250,애경산업,2021-11-23,905
018260,삼성에스디에스,2021-11-23,1725
018290,브이티지엠피,2021-11-23,5803
018310,삼목에스폼,2021-11-23,5803
018470,조일알미늄,2021-11-23,6354
018500,동원금속,2021-11-23,6352
018620,우진비앤지,2021-11-23,3342
018670,SK가스,2021-11-23,6009
018680,서울제약,2021-11-23,5250
018700,바른손,2021-11-23,5804
018880,한온시스템,2021-11-23,6323
019010,베뉴지,2021-11-23,5804
019170,신풍제약,2021-11-23,6353
019180,티에이치엔,2021-11-23,6324
019210,와이지-원,2021-11-23,5802
019440,세아특수강,2021-11-23,2581
019490,하이트론씨스템즈,2021-11-23,5660
019540,일지테크,2021-11-23,5804
019550,SBI인베스트먼트,2021-11-23,5803
019570,리더스 기술투자,2021-11-23,5802
019590,엠벤처투자,2021-11-23,5803
019660,글로본,2021-11-23,5803
019680,대교,2021-11-23,4406
019770,서연탑메탈,2021-11-23,2565
019990,에너토크,2021-11-23,3906
020000,한섬,2021-11-23,6344
020120,키다리스튜디오,2021-11-23,6346
020150,일진머티리얼즈,2021-11-23,2642
020180,대신정보통신,2021-11-23,5805
020400,대동금속,2021-11-23,5803
020560,아시아나항공,2021-11-23,5373
020710,시공테크,2021-11-23,5466
020760,일진디스플,2021-11-23,4910
021040,대호특수강,2021-11-23,5786
021050,서원,2021-11-23,6353
021080,에이티넘인베스트,2021-11-23,5802
021240,코웨이,2021-11-23,5804
021320,KCC건설,2021-11-23,5005
021650,한국큐빅,2021-11-23,4656
021820,세원정공,2021-11-23,6347
021880,메이슨캐피탈,2021-11-23,5803
022100,포스코 ICT,2021-11-23,5182
022220,정산애강,2021-11-23,3857
023000,삼원강재,2021-11-23,2545
023150,MH에탄올,2021-11-23,5200
023160,태광,2021-11-23,5800
023350,한국종합기술,2021-11-23,2602
023410,유진기업,2021-11-23,5805
023440,제일제강,2021-11-23,5804
